,APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone,lat,lon
0,2004002010,01/28/2016,Single Family,"8356 N FALLBROOK AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274,-118.674338,34.272703
1,2004010012,02/04/2016,Single Family,"22400 W MALDEN ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274,-118.698572,34.30355
2,2004015030,01/19/2016,Single Family,"22700 W NAPA ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084,-118.698572,34.30355
3,2004023015,01/20/2016,Single Family,"8909 N FARRALONE AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816,-118.674338,34.272703
4,2004024038,02/25/2016,Single Family,"8809 N FARRALONE AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Selene Finance LP,Adan Roesner,951-428-2250,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863,-118.674338,34.272703
5,2005006009,02/03/2016,Single Family,"8476 N SAMRA DR LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084,-118.661688,34.278046
6,2005008006,01/21/2016,Single Family,"8423 N DENISE LANE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656 ,949-625-4480,-118.671995,34.270425
7,2005009002,01/14/2016,Single Family,"8325 N DENISE LANE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Caliber Home Loans,Kandyce Hughes,214-874-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611,-118.671995,34.270425
8,2005012021,01/05/2016,Single Family,"8404 N JOAN LANE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Solutionstar Field Services,Paula Acosta,888-456-0714,"Cyprexx Services, LLC.",Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202,-118.671995,34.270425
9,2005018009,01/04/2016,Single Family,"8349 N HILLARY DR LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Deutsche Bank C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125 ,877-340-0060,-118.661688,34.278046
10,2010006025,01/28/2016,Single Family,"22046 W BAHAMA ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274,-118.698572,34.30355
11,2012029017,01/29/2016,Single Family,"7909 N FARRALONE AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274,-118.674338,34.272703
12,2014003012,01/28/2016,Single Family,"22838 W ROSCOE BLVD LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274,-118.698572,34.30355
13,2014012017,03/22/2016,Single Family,"7934 N MCLAREN AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801,-118.674338,34.272703
14,2014034051,01/28/2016,Single Family,"7715 N ROYER AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274,-118.674338,34.272703
15,2017025033,01/28/2016,Single Family,"23948 W JENSEN DR LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611,-118.698572,34.30355
16,2020011020,01/07/2016,Single Family,"7862 N VALLEY FLORES DR LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Solutionstar Field Services,Paula Acosta,888-456-0714,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306,-118.661688,34.278046
17,2020014021,01/06/2016,Single Family,"23723 W STAGG ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Select Portfolio Servicing,Code Violations,888-349-8964,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306,-118.698572,34.30355
18,2020017042,01/04/2016,Single Family,"23452 W JUSTICE ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437,-118.698572,34.30355
19,2020021023,01/05/2016,Single Family,"23441 W JONATHAN ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084,-118.698572,34.30355
20,2020027013,03/02/2016,Single Family,"24015 W STAGG ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Solutionstar Field Services,Paula Acosta,888-456-0714,Assurant Field Services,Property Registration Department Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,800-468-1743,-118.698572,34.30355
21,2024039038,03/03/2016,Single Family,"7060 SHOUP LOS ANGELES, CA 91401 ",LOS ANGELES,CA,91401,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Apex Construction Services,Kuhn Mat,3600   Ocean Ranch BLVD  Oceanside CA 92056 ,760-634-6589,-118.416834,34.175121
22,2027001049,01/07/2016,Single Family,"7710 N ATRON AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084,-118.674338,34.272703
23,2027038024,01/11/2016,Single Family,"7624 N ATHERTON LANE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Shellpoint Mortgage Services,Johan Correa,866-825-2174,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863,-118.671995,34.270425
24,2027046001,01/06/2016,Single Family,"24024 W HILLHURST DR LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,12,Solutionstar Field Services,Paula Acosta,888-456-0714,"Mortgage Contracting Services, Inc.","Mortgage Contracting Services, Inc.",6504   International Pkwy 1500 Plano TX 75093 ,813-387-1100,-118.698572,34.30355
25,2035020022,01/28/2016,Single Family,"23217 W SYLVAN ST LOS ANGELES, CA 91367 ",LOS ANGELES,CA,91367,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863,-118.632153,34.184742
26,2045009029,01/15/2016,Single Family,"6115 N DILL PL LOS ANGELES, CA 91367 ",LOS ANGELES,CA,91367,3,SETERUS INC,Preservation Compliance,866-570-5277,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611,-118.647174,34.181217
27,2076013020,01/28/2016,Single Family,"22711 W MULHOLLAND DR LOS ANGELES, CA 91364 ",LOS ANGELES,CA,91364,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274,-118.623315,34.150906
28,2109013017,01/05/2016,Single Family,"20947 W HEMMINGWAY ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,SETERUS INC,Preservation Compliance,866-570-5277,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097,-118.698572,34.30355
