census_tract,total_people,parks,shelter_beds,building_permits,foreclosures
101110,6,7,0,2900,69
101122,6,7,0,2900,69
101210,19,7,0,2900,69
101220,39,7,0,2900,69
101300,33,7,0,2963,69
101400,17,13,45,5448,130
102103,20,16,0,4392,111
102104,28,17,0,4719,117
102105,10,17,0,4818,118
102107,0,22,0,6940,172
103101,23,13,0,5448,130
103102,2,13,0,5448,130
103200,65,27,0,9050,296
103300,0,22,0,6940,172
103400,17,13,0,5448,130
104103,10,21,0,6502,235
104105,5,44,109,13339,453
104108,6,44,0,13339,453
104124,31,21,0,6502,235
104201,10,47,0,14089,472
104203,8,23,0,6837,218
104204,1,44,0,13339,453
104310,5,26,0,7587,237
104320,121,23,83,6837,218
104401,6,23,0,6837,218
104403,4,23,0,6837,218
104404,7,23,0,6837,218
104500,31,23,29,6837,218
104610,6,23,0,6837,218
104620,0,23,0,6837,218
104701,46,23,0,6837,218
104703,12,39,0,11229,329
104704,13,23,0,6837,218
104810,5,39,0,11229,329
104821,38,23,0,6837,218
104822,14,23,0,6837,218
106010,8,21,0,6502,235
106020,0,21,0,6502,235
106111,0,21,0,6502,235
106112,8,21,125,6502,235
106113,25,21,0,6502,235
106114,3,24,0,7252,254
106403,11,21,0,6502,235
106405,4,21,0,6502,235
106406,4,21,0,6502,235
106407,52,21,0,6502,235
106408,10,21,0,6502,235
106510,21,21,0,6502,235
106520,11,21,0,6502,235
106603,18,29,0,12774,430
106604,13,21,0,6502,235
106641,0,8,0,6272,195
106642,0,8,0,6272,195
106643,0,8,0,6272,195
106645,0,8,0,6272,195
106646,14,8,0,6272,195
106648,0,21,0,6502,235
106649,6,24,0,7252,254
107010,33,21,0,6502,235
107020,28,21,0,6502,235
108101,0,15,0,4905,108
108102,8,15,0,4905,108
108103,0,15,0,4905,108
108104,0,15,0,4905,108
108201,0,15,0,4905,108
108202,0,15,0,4905,108
109100,19,4,0,1664,68
109200,0,8,0,6272,195
109300,2,8,0,6272,195
109400,19,4,0,1664,68
109500,0,3,0,750,19
109601,0,4,0,1664,68
109603,13,4,0,1664,68
109604,0,4,0,1664,68
109700,0,8,0,6272,195
109800,48,9,0,10625,322
111100,1,8,0,6272,195
111201,1,8,0,6272,195
111202,34,8,0,6272,195
111204,2,23,0,9207,166
111205,5,8,0,8159,146
111206,19,31,0,15479,361
111301,34,23,0,15034,391
111302,2,0,0,3857,88
111400,1,9,0,10625,322
113101,1,14,0,5071,141
113102,10,29,0,9976,249
113211,14,14,0,5071,141
113212,2,14,0,5071,141
113213,20,14,0,5071,141
113231,0,13,0,4206,46
113232,0,13,6,4206,46
113233,27,27,0,9277,187
113234,21,19,15,8336,163
113235,0,27,0,9277,187
113237,98,14,0,5071,141
113301,15,22,0,9373,199
113303,29,22,15,9373,199
113321,22,14,0,5071,141
113322,0,22,0,9373,199
113401,13,14,0,8432,175
113421,12,33,0,13407,304
113422,18,19,8,8336,163
115101,5,0,0,3857,88
115103,0,2,0,3900,88
115104,0,0,0,3857,88
115201,0,8,0,8159,146
115202,114,8,34,8159,146
115301,0,8,0,4302,58
115302,11,8,0,4302,58
115401,0,0,0,3857,88
115403,18,0,0,3857,88
115404,8,8,0,4302,58
117101,16,1,0,4353,127
117102,0,1,0,4353,127
117201,0,5,0,6017,195
117202,3,1,0,4353,127
117301,30,1,0,4353,127
117302,0,1,0,4353,127
117303,22,1,0,4353,127
117404,41,1,0,4353,127
117405,1,1,107,4353,127
117407,0,1,0,4353,127
117408,86,1,0,4353,127
117510,37,1,15,4353,127
117520,60,1,58,4353,127
