FID,Status,Score,Match_type,Match_addr,,AddNum,AddNumFrom,AddNumTo,StPreDir,StPreType,StName,StType,StDir,Nbrhd,City,Subregion,Region,Postal,PostalExt,Country,LangCode,Addr_type,StreetID,Distance,X,Y,DisplayX,DisplayY,Xmin,Ymin,Xmax,Ymax,ARC_Street,ARC_City,ARC_State,ARC_ZIP,UID,ProgType,Agency,ProgName,InvType,BedType,TargetPop,SubPop,PopB,PopC,McKVento,UtilizRate,Address,Address2,City_1,ZIP,GEOID,Contact,Title,Phone,Email,SPA,SD,CD,CTs,Beds,Units,PIT,SkidRow,Veterans
0,M,100,A,"5849 Crocker St, Los Angeles, CA, 90003",R,5849,5827,5999, , ,Crocker,St, , ,Los Angeles, ,CA,90003, ,USA,ENG,StreetAddress,6984000018,0,-118.268577,33.988777,-118.268577,33.988777,-118.318577,33.938777,-118.218577,34.038777,5849 CROCKER ST,Los Angeles, ,90003,038-010160,RRH,"Special Service for Groups, Inc.",First 5 LA Rental Assistance RRH Round 2,C,0,HC,Family,NA, ,Yes,1,5849 CROCKER ST, ,Los Angeles,90003,62118,Elvira Quintos,Program Director,(213) 483-3000,equintos@apctc.org,SPA 4,SD 2,CD 9,239200,190, ,190, , 
1,M,100,A,"5849 Crocker St, Los Angeles, CA, 90003",R,5849,5827,5999, , ,Crocker,St, , ,Los Angeles, ,CA,90003, ,USA,ENG,StreetAddress,6984000018,0,-118.268577,33.988777,-118.268577,33.988777,-118.318577,33.938777,-118.218577,34.038777,5849 CROCKER ST,Los Angeles, ,90003,038-010159,RRH,"Special Service for Groups, Inc.",First 5 LA Rental Assistance,N,0,HC,Family,NA,NA,No,1,5849 CROCKER ST, ,Los Angeles,90003,62118,Elvira Quintos,Program Director,(213) 483-3000,equintos@apctc.org,SPA 6,SD 2,CD 9,239200,61, ,61, , 
2,M,100,A,"9315 Firth Blvd, Los Angeles, CA, 90002",R,9315,9201,9409, , ,Firth,Blvd, , ,Los Angeles, ,CA,90002, ,USA,ENG,StreetAddress,6984000032,0,-118.247609,33.951975,-118.247609,33.951975,-118.297609,33.901975,-118.197609,34.001975,9315 FIRTH BLVD,Los Angeles, ,90002,041-011350,PSH,Watts Labor Community Action Committee,McCoy Plaza,C,0,HC,Family,NA,Persons Returning from Prison or Jail,Yes,1.2,9315 FIRTH BLVD, ,Los Angeles,90002,62118,Parker Anderson,General Manager Human Services,(323) 563-5639,panderson@wlcac.org,SPA 6,SD 2,CD 15,242300,239, ,286, , 
3,M,100,A,"1800 E 85th St, Los Angeles, CA, 90001",R,1800,1800,1898,E, ,85th,St, , ,Los Angeles, ,CA,90001, ,USA,ENG,StreetAddress,6984000032,0,-118.2404,33.960953,-118.2404,33.960953,-118.2904,33.910953,-118.1904,34.010953,1800 E. 85th St.,Los Angeles, ,90001,213-001801,TH,"Immanuel Housing Inc (Formerly Beacon Housing, Inc.)",Immanuel House of Hope,C,0,HC,Family,NA,Chronically Homeless,Yes,0.59,1800 E. 85th St., ,Los Angeles,90001,69037,Karen Hirst,Executive Director,(323) 256-6975,karen@immanuelhousing.org,SPA 6,SD 3,NA,535300,32, ,19, , 
4,M,100,A,"450 N Hoover St, Los Angeles, CA, 90004",R,450,440,462,N, ,Hoover,St, , ,Los Angeles, ,CA,90004, ,USA,ENG,StreetAddress,6984000031,0,-118.284359,34.079027,-118.284359,34.079027,-118.334359,34.029027,-118.234359,34.129027,450 N. Hoover St.,Los Angeles, ,90004,011-001109,PSH,A Community of Friends,Project Independence/Gateways,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.93,450 N. Hoover St., ,Los Angeles,90004,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 1,CD 13,195900,29, ,27, , 
5,M,100,A,"4118 Rosewood Ave, Los Angeles, CA, 90004",L,4118,4118,4182, , ,Rosewood,Ave, , ,Los Angeles, ,CA,90004, ,USA,ENG,StreetAddress,6984000031,0,-118.294081,34.078985,-118.294081,34.078985,-118.344081,34.028985,-118.244081,34.128985,4118 Rosewood Ave,Los Angeles, ,90004,389-016153,PSH,First Place for Youth,My First Place TAY Housing Stabilization - Project SD 1,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.27,4118 Rosewood Ave, ,Los Angeles,90004,62118,Alex Atkinson,Director,(213) 835-2701,aatkinson@firstplaceforyouth.org,SPA 4,SD 1,CD 14,206040,37, ,10, , 
6,M,100,A,"8224 S Broadway, Los Angeles, CA, 90003",L,8224,8200,8298,S, ,Broadway, , , ,Los Angeles, ,CA,90003, ,USA,ENG,StreetAddress,6984000018,0,-118.278225,33.964827,-118.278225,33.964827,-118.328225,33.914827,-118.228225,34.014827,8224 S BROADWAY,Los Angeles, ,90003,083-011285,ES,Volunteers of America of Los Angeles,Family Emergency Housing Program,C,Facility-based beds,HC,Family,NA,NA,Yes,1.04,8224 S BROADWAY, ,Los Angeles,90003,62118,Henery Wilson,Program Director,(213) 799-1832,henerywil@aol.com,SPA 6,SD 2,CD 9,239700,24, ,25, , 
7,M,100,A,"1800 E 85th St, Los Angeles, CA, 90001",R,1800,1800,1898,E, ,85th,St, , ,Los Angeles, ,CA,90001, ,USA,ENG,StreetAddress,6984000032,0,-118.2404,33.960953,-118.2404,33.960953,-118.2904,33.910953,-118.1904,34.010953,1800 E. 85th St.,Los Angeles, ,90001,504-019500,ES,Illumination Foundation,LA Recuperative Care,N,Facility-based beds,SMF,Individual,NA, ,Yes,1,1800 E. 85th St., ,Los Angeles,90001,69037,0,0,0,0,SPA 6,SD 4,NA,502800,3, ,3, , 
8,M,100,A,"9130 S Figueroa St, Los Angeles, CA, 90003",L,9130,9126,9198,S, ,Figueroa,St, , ,Los Angeles, ,CA,90003, ,USA,ENG,StreetAddress,6984000042,0,-118.282634,33.953466,-118.282634,33.953466,-118.332634,33.903466,-118.232634,34.003466,9130 S. Figueroa St.,Los Angeles, ,90003,011-001107,PSH,A Community of Friends,Figueroa Court Apartments,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.97,9130 S. Figueroa St., ,Los Angeles,90003,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,CD 8,240200,39, ,38, , 
9,M,100,A,"695 S Vermont Ave, Los Angeles, CA, 90005",R,695,651,699,S, ,Vermont,Ave, , ,Los Angeles, ,CA,90005, ,USA,ENG,StreetAddress,6984000017,0,-118.291713,34.059978,-118.291713,34.059978,-118.341713,34.009978,-118.241713,34.109978,Administrative Office  695 S. Vermont Avenue,Los Angeles, ,90005,140-003780,PSH,County of Los Angeles Department of Mental Health,Shelter Plus Care - Tenant-Based Rental Assistance,C,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.89,Administrative Office  695 S. Vermont Avenue," 11th Floor,  Suite 1020",Los Angeles,90005,62118,Anu Sahni,Health Program Analyst I,(213) 480-3608,asahni@dmh.lacounty.gov,SPA 4,SD 2,CD 10,212303,1183, ,1048, , 
10,M,100,A,"340 N Madison Ave, Los Angeles, CA, 90004",R,340,300,398,N, ,Madison,Ave, , ,Los Angeles, ,CA,90004, ,USA,ENG,StreetAddress,6984000016,0,-118.289101,34.076912,-118.289101,34.076912,-118.339101,34.026912,-118.239101,34.126912,340 N Madison Ave,Los Angeles, ,90004,012-001963,OPH,"Beyond Shelter, Inc.",Homeless Section 8 Voucher Program (HACLA),C,0,HC,Family,NA,NA,Yes,1,340 N Madison Ave, ,Los Angeles,90004,62118,Joel John Roberts,CEO,(323) 644-2209,joelr.epath.org,SPA 4,SD 2,CD 13,192700,70, ,70, , 
11,M,100,A,"695 S Vermont Ave, Los Angeles, CA, 90005",R,695,651,699,S, ,Vermont,Ave, , ,Los Angeles, ,CA,90005, ,USA,ENG,StreetAddress,6984000017,0,-118.291713,34.059978,-118.291713,34.059978,-118.341713,34.009978,-118.241713,34.109978,Administrative Office  695 S. Vermont Avenue,Los Angeles, ,90005,140-003751,PSH,County of Los Angeles Department of Mental Health,Homeless Section 8 Voucher Program (HACLA),N,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.2,Administrative Office  695 S. Vermont Avenue," 10th Floor,  Suite 1020",Los Angeles,90005,62118,Anu Sahni,Health Program Analyst I,(213) 480-3608,asahni@dmh.lacounty.gov,SPA 4,SD 2,CD 10,212303,90, ,18, , 
12,M,100,A,"335 N Juanita Ave, Los Angeles, CA, 90004",L,335,301,399,N, ,Juanita,Ave, , ,Los Angeles, ,CA,90004, ,USA,ENG,StreetAddress,6984000027,0,-118.29057,34.076787,-118.29057,34.076787,-118.34057,34.026787,-118.24057,34.126787,335 N. Juanita Ave.,Los Angeles, ,90004,177-014501,PSH,PATH Ventures,LaKretz Villas,C,0,SMF,Individual,NA,Chronically Homeless,No,0.72,335 N. Juanita Ave., ,Los Angeles,90004,62118,Jesus Hernandez,Dir. Of Development,(323) 671-1301,jhernandez@pathventures.org,SPA 4,SD 2,CD 13,192700,47, ,34, , 
13,M,100,A,"340 N Madison Ave, Los Angeles, CA, 90004",R,340,300,398,N, ,Madison,Ave, , ,Los Angeles, ,CA,90004, ,USA,ENG,StreetAddress,6984000016,0,-118.289101,34.076912,-118.289101,34.076912,-118.339101,34.026912,-118.239101,34.126912,340 N. Madison Ave.,Los Angeles, ,90004,177-014503,TH,PATH Ventures,TAY Transitional Housing Program,C,0,SMF,Youth,NA, ,Yes,0.75,340 N. Madison Ave., ,Los Angeles,90004,62118,Jesus Hernandez,Dir. Of Development,(323) 671-1301,jhernandez@pathventures.org,SPA 4,SD 2,CD 13,192700,8, ,6, , 
14,M,100,A,"695 S Vermont Ave, Los Angeles, CA, 90005",R,695,651,699,S, ,Vermont,Ave, , ,Los Angeles, ,CA,90005, ,USA,ENG,StreetAddress,6984000017,0,-118.291713,34.059978,-118.291713,34.059978,-118.341713,34.009978,-118.241713,34.109978,Administrative Office  695 S. Vermont Avenue,Los Angeles, ,90005,140-003783,PSH,County of Los Angeles Department of Mental Health,Tenant Based Supportive Housing (TBSH),C,0,SMF+HC,Family,NA, ,Yes,0.94,Administrative Office  695 S. Vermont Avenue," 12th Floor,  Suite 1020",Los Angeles,90005,62118,Anu Sahni,Health Program Analyst I,(213) 480-3609,asahni@dmh.lacounty.gov,SPA 4,SD 2,CD 10,212303,124, ,117, , 
15,M,100,A,"836 Fedora St, Los Angeles, CA, 90005",L,836,800,898, , ,Fedora,St, , ,Los Angeles, ,CA,90005, ,USA,ENG,StreetAddress,6984000016,0,-118.297558,34.057042,-118.297558,34.057042,-118.347558,34.007042,-118.247558,34.107042,836 Fedora St.,Los Angeles, ,90005,011-001106,PSH,A Community of Friends,Fedora Apartments,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.95,836 Fedora St., ,Los Angeles,90005,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 2,CD 10,212305,22, ,21, , 
